code,year,habitatloss,co2emission
KGZ,2018,17.37103547,2679.610251
KHM,2018,113205.2283,66919240.1
KNA,2018,4.854615695,2373.782243
KOR,2018,21850.01308,8008807.234
LAO,2018,294666.2512,150272144.3
LBN,2018,255.7411684,79545.92646
LBR,2018,204932.5448,114874082.2
LBY,2018,2.922318866,687.8686537
LCA,2018,33.7801534,19506.43029
LIE,2018,6.535024898,3675.560301
LKA,2018,13160.93808,5097781.717
LSO,2018,7.72213771,1530.119517
LTU,2018,19749.62219,7353067.301
LUX,2018,457.7822997,275634.8942
LVA,2018,46923.47807,16574677.69
MAC,2018,0.8568299275,0
MAR,2018,2078.081118,648349.9592
MDA,2018,861.5862956,288346.1639
MDG,2018,366619.9362,185457012.3
MEX,2018,267150.7211,118436409.9
MKD,2018,1542.931313,695230.4542
MLI,2018,298.7991858,97196.17736
MMR,2018,278708.797,150752881.2
MNE,2018,1652.242791,666008.4465
MNG,2018,9224.6366,1897567.418
MOZ,2018,172397.9818,64450820.57
MSR,2018,9.44280537,4645.200041
MTQ,2018,51.24024817,23850.11511
MWI,2018,15487.12801,6142838.594
MYS,2018,437984.518,224152840.5
MYT,2018,72.5835049,37509.42622
NAM,2018,7.933151081,2069.020482
NCL,2018,3069.441072,1365730.077
NGA,2018,119822.4568,69750572.09
NIC,2018,71374.94319,40943880.53
NLD,2018,1271.228541,591496.2682
NOR,2018,59219.62514,16029470.17
NPL,2018,1672.116611,926822.2789
NZL,2018,79228.40057,56025702.53
PAK,2018,75.56168923,27464.30111
PAN,2018,27960.87249,15873544.79
PER,2018,211726.0289,136803520.2
PHL,2018,70533.57132,41507826.57
PLW,2018,3.891266192,2849.983787
PNG,2018,117935.0274,91758745.7
POL,2018,96845.84624,40265696.37
PRI,2018,1227.879928,641588.3259
PRK,2018,7691.718378,2831649.303
PRT,2018,97436.8978,28371743.71
PRY,2018,258779.6618,62124895.36
PSE,2018,2.027687645,559.0278734
ROU,2018,18974.17755,10304261.82
RUS,2018,5560430.925,1156699293
RWA,2018,4290.998467,3293336.702
SDN,2018,16.11576282,4261.961665
SEN,2018,300.9440968,82964.40958
SGP,2018,289.0268305,124148.1667
SLB,2018,17825.00856,14493398.6
SLE,2018,188217.4391,93861304.76
SLV,2018,2703.646446,1302427.766
SMR,2018,0.2231450161,53.80705756
SOM,2018,43.96594224,8355.64657
SPM,2018,0.2122785037,0
SRB,2018,3966.438141,2065060.368
SSD,2018,2640.938053,1118583.393
SUR,2018,19000.90115,15350907.26
SVK,2018,17698.55092,9974274.808
SVN,2018,8236.427725,4898759.391
SWE,2018,290151.4135,78280089.08
SWZ,2018,1919.918787,825248.8117
SYR,2018,903.4288939,252475.7514
TCA,2018,36.12955169,9679.721506
TCD,2018,6931.783337,2061978.106
TGO,2018,6783.649723,3716774.358
THA,2018,133532.581,78000084.27
TJK,2018,0.1800544647,67.16869081
TLS,2018,1243.598911,617842.0688
TTO,2018,947.239562,543348.5907
TUN,2018,902.6703476,285841.1849
TUR,2018,35668.33084,10594456.5
TWN,2018,1901.450375,851087.9868
TZA,2018,171708.2164,59359497.5
UGA,2018,86229.84192,39355989.02
UKR,2018,74418.51884,31565307.2
URY,2018,19527.97031,32570180.97
USA,2018,2092359.472,973586740
